Epoch,Train_Loss,Val_Loss,Train_Acc,Val_Acc
1,2.490584750252316,1.5634404764337055,0.3048743869482534,0.4120397428404442
2,1.5075872697673656,1.2304621687902477,0.4498048243419077,0.5505552308591467
3,1.2481820522014735,1.1297694376769434,0.5374837353618257,0.5832846288720047
4,1.0717241672314082,0.936275312438616,0.6030427384646182,0.6691992986557569
5,0.9211827774816729,0.8179477186386938,0.6693023721349214,0.6995908825248393
6,0.8109798677308151,0.7283400749947717,0.7046341707536783,0.7375803623611923
7,0.7067297853014154,0.6487012527586946,0.7460714643178861,0.7638807714786674
8,0.6366777472781916,0.6623005107086541,0.7705935341807627,0.7545295149035651
9,0.5688772239301814,0.5959358150014259,0.8023220898808928,0.7878433664523671
10,0.5116592178669507,0.5411907930519325,0.8197377639875888,0.8129748684979544
